id,Name,Address,Municipality,Gestione,Telephone,Email,Web,Type
100,Centro tennis di via Fersina,"via Fersina, 21",Trento,"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""",0461 921515,,http://tennis.atatrento.it/portali.asp,Campo da tennis
30,Blm Group Arena - Palestre,"Via Fersina 11, 38123",Trento,,0461 959812,,www.asis.trento.it,Impianto sportivo multidisciplinare
27,Centro sci da fondo Viote Monte Bondone,Strada delle Caserme 3-5-7-9 38123 Monte Bondone,Trento,,0461 948105,,http://www.asis.trento.it/it/impianti/centro-sci-da-fondo-viote-monte-bondone_9378_s/,Impianto sportivo multidisciplinare
103,Impianto sportivo Ito del Favero (Madonna Bianca) - Piscine,"via Bettini 7, 38123",Trento,,"0461 959812, Cassa piscine Ito Del Favero 0461.390785",,http://www.asis.trento.it/it/impianti/centro-sportivo-ito-del-favero-madonna-bianca_9376_s/,Piscina
104,Impianto sportivo Ito del Favero (Madonna Bianca) - Palestre,"via Bettini 7, 38123",Trento,,0461 959812,,www.asis.trento.it/it/impianti/centro-sportivo-ito-del-favero-madonna-bianca,Impianto sportivo multidisciplinare
8,Centro sportivo comunale sito in via Ponte Alto a Cognola,"Via Ponte Alto, 79",Trento,G.S. Argentario ASD,389 4794559,,http://www.gsargentario.it/it/,Impianto sportivo multidisciplinare
9,Bocciodromo comunale di via Canova a Trento,"via Canova, 34",Trento,,0461/961292,,,Bocciodromo
2,Bocciodromo comunale sito in via Fermi a Trento,"via Fermi, 35",Trento,Bocciofila Trento Sud,,,,Bocciodromo
26,Palaghiaccio,"Via Fersina 15, 38123",Trento,,"0461 959812, cassa PalaGhiaccio  0461 391854",,http://www.asis.trento.it/it/impianti/palaghiaccio_9377_s/,Impianto sportivo multidisciplinare
19,Centro di equitazione comunale,Località Pianizza di Villazzano,Trento,Circolo Ippico La Roccia,348 2977880,,https://sites.google.com/site/scuolaequitazionelaroccia/,Centro di equitazione
22,Campo scuola atletica leggera C. Covi e E. Postal,"piazzale Camillo Rusconi,5 38121",Trento,,0461 959812,,www.asis.trento.it,Impianto sportivo multidisciplinare
111,Impianto sportivo G. Manazzon - Palestre,"Via Fogazzaro 4, 38123",Trento,,0461 959812,,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,Impianto sportivo multidisciplinare
23,Stadio Briamasco,"Via R. da Sanseverino, 41",Trento,,0461 959812,,http://www.asis.trento.it/it/impianti/stadio-briamasco_9379_s/,Campo da calcio
25,Centro sportivo Trento Nord - piscine comunali,"via 4 Novembre 23/4, 38121",Trento,,"0461 959812, Cassa piscine Gardolo 0461.956118",,http://www.asis.trento.it/it/impianti/centro-sportivo-trento-nord_9368_s/,Piscina
30,Blm Group Arena - Palazzetto,"Via Fersina 11, 38123",Trento,,0461 959812,,http://www.asis.trento.it/it/impianti/palatrento_9419_s/,Impianto sportivo multidisciplinare
14,Poligono di tiro,Località Soraval di Cadine,Trento,Tiro a Segno Nazionale,0461 990149,,,Poligono di tiro
25,Centro sportivo Trento Nord - palazzetto,"Via IV Novembre 23/4,",Trento,,0461 959812,,http://www.asis.trento.it/it/impianti/centro-sportivo-trento-nord_9368_s/,Impianto sportivo multidisciplinare
117,Impianto sportivo G. Manazzon (ex Fogazzaro) - Piscine,"Via Fogazzaro 4, 38123",Trento,,"0461 959812, Cassa Piscine  G. Manazzon 0461.924248",,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,Piscina
12,Campo da calcio Man Malpensada,"via Bettini, 13",Trento,Associazione Calcio Femminile Trento Clarentia,0461 913467,,,Campo da calcio
15,Campo da calcio in località Solteri,via Lunelli località Solteri - Trento,Trento,ASD Solteri San Giorgio,,,http://www.solterisangiorgio.it/ ,Campo da calcio
10,Centro tennis di piazza Venezia,Piazza Venezia 41/1,Trento,Circolo Tennis Trento - Scuola Federale di Tennis,0461 238932,,,Campo da tennis
7,"Centro sportivo ""Don Onorio Spada""",Via Valnigra - Villazzano,Trento,,331 7610492,,,Impianto sportivo multidisciplinare
5,Centro tennis sito in località Pradiscola a Martignano,via Pradiscola n. 5 - Martignano,Trento,Circolo Tennis Calisio,0461 820040,,,Campo da tennis
17,Campo da calcio in località Sardagna,via alla Césa Vècia - Sardagna - Trento,Trento,Unione Sportiva Sardagna - Associazione sportiva dilettantistica,340 5223235,,,Campo da calcio
